# frequency, power_density
9.806395427987945368e+01 1.679281729975734194e+01
9.830030744795479336e+01 2.567433984465572649e+01
9.853666061603011883e+01 1.329964524705997420e+01
9.877301378410544430e+01 8.613567579236457661e+00
9.900936695218076977e+01 4.725840203831469211e+01
9.924572012025609524e+01 4.955741163682782968e+01
9.948207328833143492e+01 8.369176754995628187e+01
9.971842645640676039e+01 6.848534331749196014e+00
9.995477962448208586e+01 2.671121863342320353e+02
1.001911327925574255e+02 2.174411622436299751e+02
1.004274859606327510e+02 3.874627896300099295e+00
1.006638391287080765e+02 6.254018466392756181e+01
1.009001922967834020e+02 4.603683236767152209e+01
1.011365454648587416e+02 1.729361223242945300e+01
1.013728986329340813e+02 2.461541829883550037e+01
1.016092518010094068e+02 3.157876058217559034e+01
1.018456049690847323e+02 9.834131810152285880e+00
1.020819581371600719e+02 4.439162506612156278e+01
1.023183113052353974e+02 1.026450065167336945e+01
1.025546644733107229e+02 3.032615972690945227e+01
1.027910176413860484e+02 4.847605418133376531e+01
1.030273708094613738e+02 1.473727845019731753e+00
1.032637239775367135e+02 1.315929023214774496e+01
1.035000771456120390e+02 4.616498989265089392e+00
1.037364303136873644e+02 2.616027136998172509e+01
1.039727834817627041e+02 4.230334809590369360e+01
1.042091366498380296e+02 3.877836906328846567e+01
1.044454898179133551e+02 5.092524244412091505e+00
1.046818429859886805e+02 7.894494741676433947e+00
1.049181961540640060e+02 1.644172641506122190e+01
1.051545493221393457e+02 2.422714835622752361e+01
1.053909024902146712e+02 3.843277911576209505e+01
1.056272556582899966e+02 1.493231949324562180e+01
1.058636088263653363e+02 2.402177193413128187e+00
1.060999619944406618e+02 4.839969130212219994e+01
1.063363151625159873e+02 4.875603379481663069e+01
1.065726683305913127e+02 1.184425547986407246e+01
1.068090214986666382e+02 8.197830881222623134e+01
1.070453746667419779e+02 1.957240746928243169e+01
1.072817278348173033e+02 4.989333333621981836e+01
1.075180810028926288e+02 1.254311351193640007e+02
1.077544341709679685e+02 7.042047065146719831e+01
1.079907873390433082e+02 2.666589229907579295e+00
1.082271405071186336e+02 2.625256115995278705e+01
1.084634936751939591e+02 9.293954223507510104e-01
1.086998468432692846e+02 1.313483902486100696e+01
1.089362000113446243e+02 1.243834766614440035e+01
1.091725531794199497e+02 4.087413007233571705e+01
1.094089063474952752e+02 1.585445413679286162e+02
1.096452595155706149e+02 9.804206049076208274e+01
1.098816126836459404e+02 1.547772667995845275e+01
1.101179658517212658e+02 1.583420337978318315e+01
1.103543190197965913e+02 2.550136336986518160e+01
1.105906721878719168e+02 5.682371360355586631e+01
1.108270253559472565e+02 5.236294825861481428e+00
1.110633785240225819e+02 2.158222503662187819e+01
1.112997316920979074e+02 4.599181232501892147e+00
1.115360848601732471e+02 5.987309147850150026e+01
1.117724380282485726e+02 9.395415681472675828e+01
1.120087911963238980e+02 4.124027065874344089e+01
1.122451443643992235e+02 1.506532778599096467e+01
1.124814975324745490e+02 1.911479414038509361e+01
1.127178507005498886e+02 6.823615177877169202e+00
