# frequency, psd_without_bg
1.257172749446930027e+02 6.658017353016330020e-01
1.259536281127683566e+02 2.435295606414051850e+00
1.261899812808436820e+02 1.557976545936817336e+00
1.264263344489190075e+02 1.694869367396861781e+00
1.266626876169943330e+02 2.439357833468279946e+00
1.268990407850696585e+02 2.388226690247461925e-01
1.271353939531449839e+02 2.328495334908629033e+00
1.273717471212203094e+02 1.595837467424759959e-01
1.276081002892956349e+02 8.908936190582098513e-01
1.278444534573709888e+02 3.549667949204048933e-01
1.280808066254463142e+02 3.904514807479033123e-01
1.283171597935216539e+02 1.722954093076666249e+00
1.285535129615969652e+02 1.778995632898813906e+00
1.287898661296723049e+02 7.202407266327439661e-01
1.290262192977476161e+02 1.989147897557480282e-01
1.292625724658229558e+02 1.114346289719792882e+00
1.294989256338982671e+02 1.409313375183608663e+00
1.297352788019736352e+02 2.767358077791406967e-02
1.299716319700489464e+02 3.193962470094108053e+00
1.302079851381242861e+02 4.293830349527577361e+00
1.304443383061995974e+02 4.413721780429585850e-01
1.306806914742749370e+02 3.545749105293808157e+00
1.309170446423502483e+02 3.726805455671973188e+00
1.311533978104255880e+02 7.377798916894919845e-01
1.313897509785009277e+02 1.000621916585855198e+00
1.316261041465762673e+02 1.426512811263455971e+00
1.318624573146516070e+02 1.175714419194157312e+00
1.320988104827269183e+02 3.917551193600842807e-01
1.323351636508022580e+02 8.973569123468902453e-02
1.325715168188775692e+02 1.343784156439696009e-01
1.328078699869529089e+02 9.290828560706003436e-02
1.330442231550282202e+02 8.888022755476915338e-01
1.332805763231035598e+02 8.239110083276645069e-01
1.335169294911788995e+02 9.441883172864831142e-01
1.337532826592542392e+02 6.333466273224729326e-01
1.339896358273295505e+02 1.218442079652405363e+00
1.342259889954048901e+02 1.358293320954528260e+00
1.344623421634802014e+02 5.895877949518101291e-01
1.346986953315555411e+02 8.597119147840149855e-01
1.349350484996308523e+02 2.173395771292953582e-01
1.351714016677061920e+02 3.120140469679420492e-01
1.354077548357815317e+02 1.220601076311236301e-02
1.356441080038568714e+02 3.049623068759572675e-01
1.358804611719321827e+02 6.633151477921359618e-01
